Page title,Best known upper bound,Old Family #,Family Name,Looked at?,Variation,Algo ID,Algorithm Description,Final Call,Exact Problem Statement?,Exact algorithm?,Time Complexity (Average),Average Case Distribution,Reference?,Unnamed: 17,Algorithm Name,Year,Paper/Reference Link,Constants,Derived?,Paper Reference for Constants,Time Complexity Improvement?,Transition Class,Time Complexity Class,Param: Time Class,Time Complexity (Worst Only),Parameter definitions,Preferred Parameter,Time Complexity Reference,Derived Time Complexity?,Computational Model,Unit of Space,Space Complexity Class,Param: Space Class,Space Complexity (Auxiliary),Space Complexity Reference,Derived Space Complexity?,Space Complexity in Original Paper?,Interesting Space Complexity?,Randomized?,"Type of Randomized Algorithm (e.g. Las Vegas, Monte Carlo, Atlantic City)",Approximate?,Approximation Factor (if approximate algorithm),Heuristic-based?,Parallel?,"# of
Processors",Quantum?,GPU-based?,Other References,Problem Statement,"Algorithm family
parameters",Description of Inputs,Ratios of input parameter sizes,Space n = 1000 value,Space n = 1000 rate,Space n = 10^6 value,Space n = 10^6 rate,Space n = 10^9 value,Space n = 10^9 rate,n = 1000 value,n = 1000 scale,n = 1000 Rate,n = 10^6 value,n = 10^6 scale,n = 10^6 Rate,n = 10^9 value,n = 10^9 scale,n = 10^9 Rate,Starting Complexity,Remarks,Papers for ratio evaluations,Domains,formatted_title,reads_url,2015070100,2015080100,2015090100,2015100100,2015110100,2015120100,2016010100,2016020100,2016030100,2016040100,2016050100,2016060100,2016070100,2016080100,2016090100,2016100100,2016110100,2016120100,2017010100,2017020100,2017030100,2017040100,2017050100,2017060100,2017070100,2017080100,2017090100,2017100100,2017110100,2017120100,2018010100,2018020100,2018030100,2018040100,2018050100,2018060100,2018070100,2018080100,2018090100,2018100100,2018110100,2018120100,2019010100,2019020100,2019030100,2019040100,2019050100,2019060100,2019070100,2019080100,2019090100,2019100100,2019110100,2019120100,2020010100,2020020100,2020030100,2020040100,2020050100,2020060100,2020070100,2020080100,2020090100,2020100100,2020110100,2020120100,2021010100,2021020100,2021030100,2021040100,2021050100,2021060100,2021070100,2021080100,2021090100,2021100100,2021110100,2021120100,2022010100,2022020100,2022030100,2022040100,2022050100,2022060100,2022070100,2022080100,2022090100,2022100100,2022110100,2022120100,2023010100,2023020100,2023030100,2023040100,2023050100,2023060100,2023070100,average_monthly_reads,min_time_complexity_class,is_optimal
Nearest neighbor search,,49,Nearest Neighbor Search,2,k-ANNS,419,,,1,0,O(nlogn),,,[https://doi.org/10.1109/TPAMI.2018.2889473 Hierarchical Navigable Small World (HNSW) (2018)],Hierarchical Navigable Small World (HNSW),2018,https://doi.org/10.1109/TPAMI.2018.2889473,,,,0,0,4,n: 4,O(nlogn),"n: number of elements
M: heuristic choice -- number of closest neighbors for a part of the algo",n,,,,bytes of memory,1,"n: 1,
M: 3",O(M),"https://arxiv.org/abs/1603.09320, ""Memory usage is proportional to choice of M""",0,1,,0,,1,? experimental results,1,0,,0,0,,,,,,,,,,,,9965,,,,,,,,,4,,,Combinatorics,Nearest_neighbor_search,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Nearest_neighbor_search/monthly/20150701/20230731,7816,7973,8427,10234,9997,9991,9588,10143,10339,11056,10202,8594,7885,8483,9185,10693,10940,9245,9253,9468,11124,9787,10649,9649,8283,7773,8478,10424,10304,8333,9317,9030,10164,9872,9581,7866,7642,7684,8230,9803,9577,8981,8869,8631,10689,10477,10253,8456,8325,7782,9178,10902,10772,8891,9219,9197,9794,10922,9920,9754,7915,7467,7968,9289,9736,8648,8630,8146,10160,9268,8992,8682,8196,8015,8101,8781,8384,8443,7899,7467,7991,7988,7740,7425,6241,6253,6510,7619,7493,6858,6733,7535,8914,7455,8019,7279,6679,8855.804124,3,FALSE
Locality-sensitive hashing,,49,Nearest Neighbor Search,2,k-ANNS,420,,,1,0,"O(nLkt) [pre-processing]
O(L(kt+dnP_2^k)) [query-time]",,,[http://infolab.stanford.edu/~ullman/mmds/ch3n.pdf Locality-sensitive hashing (2010)],Locality-sensitive hashing,2010,http://infolab.stanford.edu/~ullman/mmds/ch3n.pdf,,,,0,0,3,"n: 3,
k: 3,
L: 3,
t: 3,
d: 3","$O(nLkt)$ [pre-processing]
$O(L(kt+dnP_2^k))$ [query-time]","$n$: number of elements
$L$: number of hash tables
$k$: width parameter
$t$: time to evaluate a function
$d$: dimensionality of the data
$P_1, P_2$: Probabilities inherent in the hash functions
$c$: approximation factor",n,,,,hash table cells,3,"n: 3,
L: 3",O(nL),https://en.wikipedia.org/wiki/Locality-sensitive_hashing#LSH_algorithm_for_nearest_neighbor_search,0,0,,0,,1,c,0,0,,0,0,https://en.wikipedia.org/wiki/Locality-sensitive_hashing#LSH_algorithm_for_nearest_neighbor_search,,,,,,,,,,,9965,,,,,,,,,4,,,Combinatorics,Locality-sensitive_hashing,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Locality-sensitive_hashing/monthly/20150701/20230731,5619,5321,5928,6247,5889,5402,5532,6095,6248,6535,6351,6130,5429,5588,6062,6781,6908,5950,6370,7019,8498,7529,8305,8683,6518,6298,7010,8371,8936,6867,7424,6744,7836,7942,8277,7251,6838,6891,6812,8070,8006,6974,7113,7226,8438,8318,7183,6240,6450,6461,6603,8069,7191,6498,8954,8478,8892,7929,8157,8614,7319,6174,6472,7706,7184,6645,6842,6366,8486,8191,7260,7410,6036,7057,6963,7763,7751,6449,6573,6888,7290,7654,7070,6502,6339,6457,6250,7742,6676,15951,7651,8010,9182,7476,7572,7773,6297,7193.041237113402,3,TRUE
Vector quantization,,49,Nearest Neighbor Search,2,k-ANNS,422,,,1,0,Varies by codebook structure,,,[ Compression/Clustering [Vector Quantization] (1992)],Compression/Clustering [Vector Quantization],1992,,,,,1,5->6,3,n: 3,Varies by codebook structure,n: number of elements,n,,,,,#VALUE!,,Varies by codebook structure,Table 2,0,0,,0,,1,,0,0,,0,0,,,,,,,,,,,,1000,,,,,,,,,4,,,Combinatorics,Vector_quantization,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Vector_quantization/monthly/20150701/20230731,3363,3078,3547,4548,4359,4452,4108,4091,4688,4615,4666,4060,3366,3293,3838,4271,4757,4284,4393,4228,5079,5121,5559,3974,3810,3379,3598,4298,5001,4158,4296,3827,5006,5435,5408,3859,3372,3265,3343,4705,4192,4505,3755,3561,4312,4426,4571,3607,3295,3006,3115,4045,3972,3332,4369,3247,3328,4233,4171,3385,2882,2629,2763,3341,3270,3352,3102,2840,3532,3130,3363,3458,5170,3421,3155,3160,3312,3526,3205,3038,2963,3261,3562,4085,2640,2926,2889,3473,3623,2906,3116,3013,2903,2614,3353,2885,2443,3744.628865979381,3,TRUE
Knapsack problem,"\tilde{O}(min{\sqrt{n'}t, t^{5/4}, σ})",66,The Subset-Sum Problem,2,Subset Sum,546,,,1,1,O(nt/logt),,,[https://link.springer.com/article/10.1007/s00453-002-0989-y Pisinger (2003)],Pisinger,2003,https://link.springer.com/article/10.1007/s00453-002-0989-y,,,,0,0,3,"n: 3,
t: 2.99",O(nt/logt),"n: number of elements in the set
t: target sum",n,,,Word RAM,words,1,"n: 1,
t: 2.5",O(t/logt),https://link.springer.com/article/10.1007/s00453-002-0989-y,0,1,,0,,0,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,Combinatorics,Knapsack_problem,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Knapsack_problem/monthly/20150701/20230731,25191,27276,30404,36756,38328,34148,28716,31831,35171,36492,37738,28989,23280,28288,31481,39510,43108,36742,31257,33395,39111,37114,35045,26670,24100,26200,30518,39535,40502,39333,28909,29217,34884,36598,35054,25244,25312,25833,28495,38159,34816,30498,27573,28250,33713,33944,28947,24224,22612,24215,29863,37453,40439,32674,29950,34292,32658,36710,35562,30515,26294,26515,29573,38838,39142,38988,35794,31762,38006,36792,33627,31002,31977,28751,28913,34448,36660,33675,31700,32380,34856,35636,37048,31299,27130,25670,31007,35964,43033,34809,29883,28226,32017,29493,31420,26831,22794,32317.474226804123,3,TRUE
Subset sum problem,"\tilde{O}(min{\sqrt{n'}t, t^{5/4}, σ})",66,The Subset-Sum Problem,2,Subset Sum,548,,,1,1,O(n' t),,,[https://link.springer.com/article/10.1007/s006070050042 Pferschy (1999)],Pferschy,1999,https://link.springer.com/article/10.1007/s006070050042,,,,0,0,3,"n: 3,
n': 3,
t: 3",O(n' t),"n': number of distinct elements in the set
t: target sum",n,,,,,1,"n: 1,
t: 3",O(t),"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",0,0,,0,,0,,0,0,,0,0,"https://dl.acm.org/doi/pdf/10.1145/3329863, Table 1",,,,,,,,,,,,,,,,,,,,1,,,Combinatorics,Subset_sum_problem,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Subset_sum_problem/monthly/20150701/20230731,8812,8136,9700,11712,14063,13303,11208,12764,12129,13821,12366,9587,17323,10858,10134,12880,14501,13148,11550,11223,13675,13647,13261,9921,9500,9043,10483,11994,14674,11514,10956,9494,10826,13359,12206,8737,8217,8379,9379,11734,14340,13900,11445,10640,12463,13760,12479,9615,9097,8946,10444,13182,13153,12380,11003,11896,10544,13912,12559,12308,9901,9850,11206,13717,15521,17179,13413,11455,13930,15882,12608,10553,10683,10707,10255,12675,15448,13552,11307,13094,12992,13044,13023,9801,8382,7772,8094,9592,11897,10161,8317,7838,8685,8851,8342,7106,6602,11461.01030927835,3,TRUE
Charles Lawrence (mathematician),,99,Motif Search,2,Motif Search,785,,,1,0,O(nm),,,[https://science.sciencemag.org/content/262/5131/208 Lawrence Gibbs Sampling (1993)],Lawrence Gibbs Sampling,1993,https://science.sciencemag.org/content/262/5131/208,,,,0,0,3,"n: 3,
m: 3,
mn: 3",O(nm),"n: number of sequences
m: length of sequences",mn,,,Word RAM,words,2.5,"n: 3,
m: 3,
mn: 2.5",O(n + m),"derived: two data structures, one uses O(n) and one uses O(m)",1,0,,0,,1,,0,0,,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2966288/,,,,,,,,,,,,,,,,,,,,4,,,Bioinformatics,Charles_Lawrence_%28mathematician%29,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Charles_Lawrence_%28mathematician%29/monthly/20150701/20230731,49,62,73,86,55,54,47,56,58,82,82,51,71,63,70,74,52,72,59,36,71,67,50,61,24,31,57,44,44,63,53,34,53,45,36,33,33,42,43,63,75,37,43,37,51,51,43,20,48,29,46,40,62,72,37,49,45,37,29,15,33,23,31,42,19,23,33,15,35,39,28,14,19,10,20,15,27,22,26,20,22,19,17,22,24,25,21,24,18,13,21,10,10,18,13,17,13,39.855670103092784,2.75,FALSE
Charles Lawrence (mathematician),,99,Motif Search,2,Motif Search,787,,,1,0,O(nm),,,[https://www.ncbi.nlm.nih.gov/pubmed/12015892 MotifSampler  (2001)],MotifSampler,2001,https://www.ncbi.nlm.nih.gov/pubmed/12015892,,,,0,0,3,"n: 3,
m: 3,
mn: 3",O(nm),"n: number of sequences
m: length of sequences",mn,,,Word RAM,words,2.5,"n: 3,
m: 3,
mn: 2.5",O(n + m),derived: essentially just modified Gibbs sampling,1,0,,0,,1,,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,4,,,Bioinformatics,Charles_Lawrence_%28mathematician%29,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Charles_Lawrence_%28mathematician%29/monthly/20150701/20230731,49,62,73,86,55,54,47,56,58,82,82,51,71,63,70,74,52,72,59,36,71,67,50,61,24,31,57,44,44,63,53,34,53,45,36,33,33,42,43,63,75,37,43,37,51,51,43,20,48,29,46,40,62,72,37,49,45,37,29,15,33,23,31,42,19,23,33,15,35,39,28,14,19,10,20,15,27,22,26,20,22,19,17,22,24,25,21,24,18,13,21,10,10,18,13,17,13,39.855670103092784,2.75,FALSE
Texture synthesis,,103.1,Texture Synthesis,2,Texture Synthesis,809,,,0,0,O(n^2 log n),,,[https://dl.acm.org/doi/abs/10.1145/344779.345009 tree-structured vector quantization Wei-Levoy (2000)],tree-structured vector quantization Wei-Levoy,2000,https://dl.acm.org/doi/abs/10.1145/344779.345009,,,,0,0,5.01,n: 5.01,O(n^2 log n),"n: number of pixels in input image
d: neighborhood size",n,,,TSVQ Tree,,3,"n: 3,
d: 3",O(nd),https://dl.acm.org/doi/abs/10.1145/344779.345009,0,1,,0,,1,,0,0,,0,0,,,,,,,,,,,,1000000000,,,,,,,,,3,,,Image Processing,Texture_synthesis,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Texture_synthesis/monthly/20150701/20230731,856,948,1066,1185,1200,1153,1321,1220,1157,1109,1027,1018,1034,1111,1111,1116,1157,1174,1143,1121,1228,1083,1012,970,799,934,872,1002,1118,933,1064,939,1028,938,856,753,718,707,713,842,932,910,750,779,982,827,831,704,652,887,778,958,887,801,861,849,803,868,827,735,712,697,702,819,871,698,687,736,891,751,745,694,549,619,829,792,729,712,899,732,828,985,658,557,520,551,600,576,634,629,596,563,685,792,829,714,519,860.3814432989691,3,FALSE
Texture synthesis,,103.1,Texture Synthesis,2,Texture Synthesis,812,,,0,0,O(N),,,"[https://arxiv.org/abs/1705.06566 Spatial GAN-Based; Urs Bergmann, Nikolay Jetchev, Roland Vollgraf (2017)]","Spatial GAN-Based; Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",2017,https://arxiv.org/abs/1705.06566,,,,0,0,3,"n: 3,
N: 3",O(N),N: number of pixels in output image,n,,,,,3,N: 3,O(N),https://arxiv.org/abs/1705.06566,0,1,,0,,1,,0,0,,0,0,,,,,,,,,,,,1000000000,,,,,,,,,3,,,Image Processing,Texture_synthesis,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Texture_synthesis/monthly/20150701/20230731,856,948,1066,1185,1200,1153,1321,1220,1157,1109,1027,1018,1034,1111,1111,1116,1157,1174,1143,1121,1228,1083,1012,970,799,934,872,1002,1118,933,1064,939,1028,938,856,753,718,707,713,842,932,910,750,779,982,827,831,704,652,887,778,958,887,801,861,849,803,868,827,735,712,697,702,819,871,698,687,736,891,751,745,694,549,619,829,792,729,712,899,732,828,985,658,557,520,551,600,576,634,629,596,563,685,792,829,714,519,860.3814432989691,3,TRUE
Cycle detection,$t_f (\mu + \lambda)(1+\Theta(1/sqrt(M)))$,32,Cycle Detection,2,Cycle Detection,324,,,1,0,(\mu + \lambda)(1+\Theta(1/sqrt(M))),"mentioned in conclusion that the analysis might be interesting, but it wasn't actually done",https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat,[https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat Sedgewick; Szymanski; and Yao (1982)],Sedgewick; Szymanski; and Yao,1982,https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat,1,0,https://www.semanticscholar.org/paper/The-Complexity-of-Finding-Cycles-in-Periodic-Sedgewick-Szymanski/8f1e5d92733380112a44630d0561611121c3228d,0,0,3,"\mu: 3,
\lambda: 3,
M: 1.5",$(\mu + \lambda)(1+\Theta(1/sqrt(M)))$,"$\mu$: first index of element in cycle
$\lambda$: period
$M$: number of memory cells available",\mu,,,,Memory cells,1,"M: 3,
\mu: 1",M,https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat,0,1,,0,,0,,0,0,,0,0,,"cycle detection or cycle finding is the algorithmic problem of finding a cycle
 in a sequence of iterated function values.",,,,,,,,,,9.965,100.3512293,,#REF!,#REF!,,#REF!,#REF!,,6,,,Combinatorics,Cycle_detection,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Cycle_detection/monthly/20150701/20230731,20214,59522,7905,9453,8264,7573,7251,8500,8136,7663,7985,6426,6358,6584,7286,8531,8114,6478,7160,7304,7630,6840,7098,6595,6574,6036,6556,7432,8830,6817,6734,6199,6684,6707,6298,6443,6192,6659,5975,6980,5818,6163,6091,5773,6902,6549,6603,5790,5328,5735,6133,6450,5997,6905,6327,20925,26268,16389,10591,10482,8477,11223,9550,10598,8803,8987,9228,8503,9354,9125,8777,8503,9214,9042,9406,8736,7700,7997,9586,8632,10138,7893,7483,7788,8946,9271,8879,8318,8926,7529,6782,6379,7493,5600,6280,6141,6057,8665.453608247422,3,TRUE
