link,name,year,title,DOI,,,,,,,
https://people.mpi-inf.mpg.de/~mehlhorn/ftp/mehlhorn3.pdf,Melhorn's Approximation algorithm,1975,,,,,,,,,
https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.54.6940&rep=rep1&type=pdf,Karpinski,1996,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/S0895480193256651?journalCode=sjdmec,Klawe; Mumey,1993,,,,,,,,,
https://www.sciencedirect.com/science/article/pii/0196677487900526,Larmore,1987,,,,,,,,,
https://doi.org/10.1109/TPAMI.2018.2889473,Hierarchical Navigable Small World (HNSW),2018,,,,,,,,,
http://infolab.stanford.edu/~ullman/mmds/ch3n.pdf,Locality-sensitive hashing,2010,,,,,,,,,
http://www.araa.asn.au/acra/acra2013/papers/pap148s1-file1.pdf,Projected radial search,2013,,,,,,,,,
https://link.springer.com/article/10.1007/s00453-002-0989-y,Pisinger,2003,,,,,,,,,
https://doi.org/10.1287/opre.21.1.332,Faaland,1973,,,,,,,,,
https://link.springer.com/article/10.1007/s006070050042,Pferschy,1999,,,,,,,,,
https://doi.org/10.1002/(SICI)1097-0037(199905)33:3%3C189::AID-NET5%3E3.0.CO;2-2,Klinz,1999,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/S019667749690841X?via%3Dihub,Eppstein,1997,,,,,,,,,
https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0091507,Serang,2014,,,,,,,,,
https://www.liebertpub.com/doi/10.1089/cmb.2015.0013,Serang,2015,,,,,,,,,
https://dl.acm.org/doi/abs/10.1145/1806689.1806735,Lokshtanov,2010,,,,,,,,,
https://arxiv.org/pdf/0812.4893.pdf,"Valentin Polishchuk, and Jukka Suomela",2008,,,,,,,,,
https://www.ncbi.nlm.nih.gov/pubmed/2184437,"Lawrence, Reilly",1990,,,,,,,,,
https://science.sciencemag.org/content/262/5131/208,Lawrence Gibbs Sampling,1993,,,,,,,,,
https://www.ncbi.nlm.nih.gov/pubmed/12015892,MotifSampler ,2001,,,,,,,,,
https://dl.acm.org/doi/abs/10.1145/344779.345009,tree-structured vector quantization Wei-Levoy,2000,,,,,,,,,
https://arxiv.org/abs/1705.06566,"Spatial GAN-Based; Urs Bergmann, Nikolay Jetchev, Roland Vollgraf",2017,,,,,,,,,
https://arxiv.org/abs/1912.05935,Grigoryan,2018,,,,,,,,,
https://epubs.siam.org/doi/abs/10.1137/0211030?journalCode=smjcat,Sedgewick; Szymanski; and Yao,1982,,,,,,,,,
https://drive.google.com/file/d/16H_lrjeaBJqWvcn07C_w-6VNHldJ-ZZl/view,Nivasch,2004,,,,,,,,,
https://onlinelibrary.wiley.com/doi/abs/10.1002/%28SICI%291097-024X%28199708%2927%3A8%3C983%3A%3AAID-SPE117%3E3.0.CO%3B2-%23,Intro Sort,1997,,,,,,,,,
