name,link,year
Sorting,https://www.researchgate.net/profile/Adolf-Fenyi-2/publication/346468901_Comparative_Analysis_of_Comparison_and_Non_Comparison_based_Sorting_Algorithms/links/62d80a6c492b5a42c7c3715c/Comparative-Analysis-of-Comparison-and-Non-Comparison-based-Sorting-Algorithms.pdf,
Comparison Sorting,https://www.researchgate.net/profile/Adolf-Fenyi-2/publication/346468901_Comparative_Analysis_of_Comparison_and_Non_Comparison_based_Sorting_Algorithms/links/62d80a6c492b5a42c7c3715c/Comparative-Analysis-of-Comparison-and-Non-Comparison-based-Sorting-Algorithms.pdf,
Non-Comparison Sorting,https://www.researchgate.net/profile/Adolf-Fenyi-2/publication/346468901_Comparative_Analysis_of_Comparison_and_Non_Comparison_based_Sorting_Algorithms/links/62d80a6c492b5a42c7c3715c/Comparative-Analysis-of-Comparison-and-Non-Comparison-based-Sorting-Algorithms.pdf,
kth Order Statistic,https://dl.acm.org/citation.cfm?doid=366622.366647,
Matrix Chain Ordering Problem,https://dl.acm.org/doi/pdf/10.1145/359545.359556,
Approximate MCOP,https://dl.acm.org/doi/pdf/10.1145/359545.359556,
Matrix Chain Scheduling Problem,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.56.222&rep=rep1&type=pdf,
Approximate MCSP,https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.56.222&rep=rep1&type=pdf,
Longest Common Subsequence,https://cse.hkust.edu.hk/mjg_lib/bibs/DPSu/DPSu.Files/HuSz77.pdf,
Longest Common Substring with don't cares,https://link.springer.com/chapter/10.1007/978-3-662-43948-7_4,
st-Maximum Flow,https://dl.acm.org/doi/abs/10.1145/3212510,
Integer Maximum Flow,https://dl.acm.org/doi/abs/10.1145/3212510,
Unweighted Maximum Flow,https://dl.acm.org/doi/abs/10.1145/3212510,
Non-integer Maximum Flow,https://dl.acm.org/doi/abs/10.1145/3212510,
Minimum-Cost Flow,https://www.tandfonline.com/doi/pdf/10.1080/10556788.2014.895828,
All-Pairs Maximum Flow,https://dl.acm.org/doi/abs/10.1145/3212510,
Maximum Local Edge Connectivity,https://dl.acm.org/doi/abs/10.1145/3212510,
Matrix Multiplication,https://era.ed.ac.uk/bitstream/handle/1842/4734/Stothers2010.pdf,
Boolean Matrix Multiplication,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=4569672,
Boolean Matrix Multiplication (Combinatorial),https://dl.acm.org/doi/pdf/10.1145/3186893,
Matrix Product Verification,https://dl.acm.org/doi/pdf/10.1145/3186893,
Distance Product,https://dl.acm.org/doi/pdf/10.1145/3186893,
"$(\min, \leq)$ Product",https://dl.acm.org/doi/pdf/10.1145/3186893,
General Linear System,https://wires.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/wics.164,
Sparse Linear System,https://arxiv.org/pdf/0811.3171.pdf,
