Algorithm,DOI,Authors,Number of Authors,Title,Year,URL,Algorithm Name,Time Complexity Class
Klawe; Mumey,10.1137/S0895480193256651,"['Maria Klawe', 'Brendan Mumey']",2,['Upper and Lower Bounds on Constructing Alphabetic Binary Trees'],1995.0,http://epubs.siam.org/doi/10.1137/S0895480193256651,Klawe; Mumey,3.0
Larmore,10.1016/0196-6774(87)90052-6,['Lawrence L Larmore'],1,['A subquadratic algorithm for constructing approximately optimal binary search trees'],1987.0,https://linkinghub.elsevier.com/retrieve/pii/0196677487900526,Larmore,4.6
Hierarchical Navigable Small World (HNSW),10.1109/TPAMI.2018.2889473,"['Yu A. Malkov', 'D. A. Yashunin']",2,['Efficient and Robust Approximate Nearest Neighbor Search Using Hierarchical Navigable Small World Graphs'],2020.0,https://ieeexplore.ieee.org/document/8594636/,Hierarchical Navigable Small World (HNSW),4.0
Projected radial search,10.1126/science.aao3924,"['P. Trocha', 'M. Karpov', 'D. Ganin', 'M. H. P. Pfeiffer', 'A. Kordts', 'S. Wolf', 'J. Krockenberger', 'P. Marin-Palomo', 'C. Weimann', 'S. Randel', 'W. Freude', 'T. J. Kippenberg', 'C. Koos']",13,['Ultrafast optical ranging using microresonator soliton frequency combs'],2018.0,https://www.science.org/doi/10.1126/science.aao3924,Projected radial search,3.0
Pisinger,10.1007/s00453-002-0989-y,['Pisinger'],1,['Dynamic Programming on the Word RAM'],2003.0,http://link.springer.com/10.1007/s00453-002-0989-y,Pisinger,3.0
Faaland,10.1287/opre.21.1.332,['Bruce Faaland'],1,['Technical Note—Solution of the Value-Independent Knapsack Problem by Partitioning'],1973.0,https://pubsonline.informs.org/doi/10.1287/opre.21.1.332,Faaland,3.0
Pferschy,10.1007/s006070050042,['U. Pferschy'],1,['Dynamic Programming Revisited: Improving Knapsack Algorithms'],1999.0,http://link.springer.com/10.1007/s006070050042,Pferschy,3.0
Klinz,10.1002/(SICI)1097-0037(199905)33:3%3C189::AID-NET5%3E3.0.CO;2-2,"['Bettina Klinz', 'Gerhard J. Woeginger']",2,['A note on the bottleneck graph partition problem'],1999.0,https://onlinelibrary.wiley.com/doi/10.1002/(SICI)1097-0037(199905)33:3<189::AID-NET5>3.0.CO;2-2,Klinz,4.5
Eppstein,10.1006/jagm.1996.0841,['David Eppstein'],1,['Minimum Range Balanced Cuts via Dynamic Subset Sums'],1997.0,https://linkinghub.elsevier.com/retrieve/pii/S019667749690841X,Eppstein,4.0
Serang,10.1089/cmb.2015.0013,['Oliver Serang'],1,['A Fast Numerical Method for Max-Convolution and the Application to Efficient <tt>Max-Product</tt> Inference in Bayesian Networks'],2015.0,http://www.liebertpub.com/doi/10.1089/cmb.2015.0013,Serang,4.0
