project,article,granularity,timestamp,access,agent,views
en.wikipedia,Algorithm,monthly,2015070100,all-access,user,104370
en.wikipedia,Algorithm,monthly,2015080100,all-access,user,104630
en.wikipedia,Algorithm,monthly,2015090100,all-access,user,126477
en.wikipedia,Algorithm,monthly,2015100100,all-access,user,120763
en.wikipedia,Algorithm,monthly,2015110100,all-access,user,110809
en.wikipedia,Algorithm,monthly,2015120100,all-access,user,99379
en.wikipedia,Algorithm,monthly,2016010100,all-access,user,111609
en.wikipedia,Algorithm,monthly,2016020100,all-access,user,107163
en.wikipedia,Algorithm,monthly,2016030100,all-access,user,110604
en.wikipedia,Algorithm,monthly,2016040100,all-access,user,108262
en.wikipedia,Algorithm,monthly,2016050100,all-access,user,118286
en.wikipedia,Algorithm,monthly,2016060100,all-access,user,102884
en.wikipedia,Algorithm,monthly,2016070100,all-access,user,89707
en.wikipedia,Algorithm,monthly,2016080100,all-access,user,101698
en.wikipedia,Algorithm,monthly,2016090100,all-access,user,122941
en.wikipedia,Algorithm,monthly,2016100100,all-access,user,114801
en.wikipedia,Algorithm,monthly,2016110100,all-access,user,111684
en.wikipedia,Algorithm,monthly,2016120100,all-access,user,104108
en.wikipedia,Algorithm,monthly,2017010100,all-access,user,113548
en.wikipedia,Algorithm,monthly,2017020100,all-access,user,106370
en.wikipedia,Algorithm,monthly,2017030100,all-access,user,115814
en.wikipedia,Algorithm,monthly,2017040100,all-access,user,150507
en.wikipedia,Algorithm,monthly,2017050100,all-access,user,109967
en.wikipedia,Algorithm,monthly,2017060100,all-access,user,94715
en.wikipedia,Algorithm,monthly,2017070100,all-access,user,89677
en.wikipedia,Algorithm,monthly,2017080100,all-access,user,96400
en.wikipedia,Algorithm,monthly,2017090100,all-access,user,107801
en.wikipedia,Algorithm,monthly,2017100100,all-access,user,113171
en.wikipedia,Algorithm,monthly,2017110100,all-access,user,109645
en.wikipedia,Algorithm,monthly,2017120100,all-access,user,99448
en.wikipedia,Algorithm,monthly,2018010100,all-access,user,115545
en.wikipedia,Algorithm,monthly,2018020100,all-access,user,106253
en.wikipedia,Algorithm,monthly,2018030100,all-access,user,110093
en.wikipedia,Algorithm,monthly,2018040100,all-access,user,102086
en.wikipedia,Algorithm,monthly,2018050100,all-access,user,98814
en.wikipedia,Algorithm,monthly,2018060100,all-access,user,86754
en.wikipedia,Algorithm,monthly,2018070100,all-access,user,87762
en.wikipedia,Algorithm,monthly,2018080100,all-access,user,94511
en.wikipedia,Algorithm,monthly,2018090100,all-access,user,101919
en.wikipedia,Algorithm,monthly,2018100100,all-access,user,100719
en.wikipedia,Algorithm,monthly,2018110100,all-access,user,90842
en.wikipedia,Algorithm,monthly,2018120100,all-access,user,103735
en.wikipedia,Algorithm,monthly,2019010100,all-access,user,94550
en.wikipedia,Algorithm,monthly,2019020100,all-access,user,81739
en.wikipedia,Algorithm,monthly,2019030100,all-access,user,95897
en.wikipedia,Algorithm,monthly,2019040100,all-access,user,94074
en.wikipedia,Algorithm,monthly,2019050100,all-access,user,86742
en.wikipedia,Algorithm,monthly,2019060100,all-access,user,72388
en.wikipedia,Algorithm,monthly,2019070100,all-access,user,74581
en.wikipedia,Algorithm,monthly,2019080100,all-access,user,74936
en.wikipedia,Algorithm,monthly,2019090100,all-access,user,94134
en.wikipedia,Algorithm,monthly,2019100100,all-access,user,88600
en.wikipedia,Algorithm,monthly,2019110100,all-access,user,87069
en.wikipedia,Algorithm,monthly,2019120100,all-access,user,74259
en.wikipedia,Algorithm,monthly,2020010100,all-access,user,79204
en.wikipedia,Algorithm,monthly,2020020100,all-access,user,77109
en.wikipedia,Algorithm,monthly,2020030100,all-access,user,74790
en.wikipedia,Algorithm,monthly,2020040100,all-access,user,77383
en.wikipedia,Algorithm,monthly,2020050100,all-access,user,70294
en.wikipedia,Algorithm,monthly,2020060100,all-access,user,64396
en.wikipedia,Algorithm,monthly,2020070100,all-access,user,70179
en.wikipedia,Algorithm,monthly,2020080100,all-access,user,91416
en.wikipedia,Algorithm,monthly,2020090100,all-access,user,95143
en.wikipedia,Algorithm,monthly,2020100100,all-access,user,99887
en.wikipedia,Algorithm,monthly,2020110100,all-access,user,95529
en.wikipedia,Algorithm,monthly,2020120100,all-access,user,90521
en.wikipedia,Algorithm,monthly,2021010100,all-access,user,93486
en.wikipedia,Algorithm,monthly,2021020100,all-access,user,90085
en.wikipedia,Algorithm,monthly,2021030100,all-access,user,98899
en.wikipedia,Algorithm,monthly,2021040100,all-access,user,81916
en.wikipedia,Algorithm,monthly,2021050100,all-access,user,78434
en.wikipedia,Algorithm,monthly,2021060100,all-access,user,72162
en.wikipedia,Algorithm,monthly,2021070100,all-access,user,76832
en.wikipedia,Algorithm,monthly,2021080100,all-access,user,74115
en.wikipedia,Algorithm,monthly,2021090100,all-access,user,84153
en.wikipedia,Algorithm,monthly,2021100100,all-access,user,97989
en.wikipedia,Algorithm,monthly,2021110100,all-access,user,78291
en.wikipedia,Algorithm,monthly,2021120100,all-access,user,71858
en.wikipedia,Algorithm,monthly,2022010100,all-access,user,75638
en.wikipedia,Algorithm,monthly,2022020100,all-access,user,71548
en.wikipedia,Algorithm,monthly,2022030100,all-access,user,75876
