Y,Y Doimain,W,W Domain,X,X Domain,,,W - X,W - X Domain,Y - X,,,,Y - X Domain
Optimal Binary Search Trees,,Shortest Path (Directed Graphs),,All Permutations,,Shortest Path (Directed Graphs),1,Area of Polygon,,4NF Decomposition,,0,Optimal Binary Search Trees,
Nearest Neighbor Search,,Public Key Cryptosystem,,All-Pairs Shortest Paths (APSP),,,0,Arithmetic?,,All Maximal Non-Branching Paths in a Graph,Public Key Cryptosystem,1,,
The Subset-Sum Problem,,Block Ciphers,,Block Ciphers,,Block Ciphers,1,Authentication?,,AST to Code Translation,,0,The Subset-Sum Problem,
Stable Matching Problem,,Informed Search,,Cardinality Estimation,,Informed Search,1,Automatic Summarization,,BCNF Decomposition,,1,,
Motif Search,,Clustering Problem,,CFG Problems,,,0,Bin Packing Problem,,Change-Making Problem,Clustering Problem,0,Motif Search,
Texture Synthesis,,Root Computation,,Clique Problems,,Root Computation,1,Black Box Function Inversion?,,Clock Synchronization in Distributed Systems,,0,Texture Synthesis,
n-Queens Problem,,Unordered Associative Array,,Collaborative Filtering,,,0,Boolean Function Minimization,,Closest Pair Problem,Unordered Associative Array,0,n-Queens Problem,
Cycle Detection,,Searching Problem,,Constructing Eulerian Trails in a Graph,,,0,Boolean Satisfiability,,Constructing Suffix Trees,Searching Problem,1,,
Sorting,,The Traveling-Salesman Problem,,Convex Hull,,The Traveling-Salesman Problem,1,Chromosomal Crossover?,,Coset Enumeration,,1,,
kth Order Statistic,,Discrete Fourier Transform,,Convex Optimization (Non-linear),,Discrete Fourier Transform,1,Classification,,Cryptanalysis of Linear Feedback Shift Registers,,0,kth Order Statistic,
Matrix Chain Multiplication,,One-Way Hash Functions,,Cycle Detection,,One-Way Hash Functions,1,Clustering Problem,,Culling,,0,Matrix Chain Multiplication,
Longest Common Subsequence,,Link Analysis,,Data Compression,,Link Analysis,1,Color Image Reconstruction,,Cyclic Peptide Sequencing Problem,,0,Longest Common Subsequence,
Maximum Flow,,Sorting,,Deadlock avoidance,,Sorting,1,Combinatorial Games,,d-Neighborhood of a String,,1,,
Matrix Product,,Graph Traversal,,Delaunay Triangulation,,,0,Companding,,De Novo Genome Assembly,Graph Traversal,1,,
Graph Coloring,,Linear Programming,,Discrete Fourier Transform,,Linear Programming,1,Connected Components (undirected),,Dependency Inference Problem,,0,Graph Coloring,
Linear System,,Nearest Neighbor Search,,Disk Scheduling,,Nearest Neighbor Search,1,Consensus,,Determinant of Matrices with Integer Entries,,1,,
Linear Programming,,Classification,,Eigenvalues (Iterative Methods),,,0,Constrained Optimization,,DFA Minimization,Classification,1,,
Line segment intersection,,Neural Network Training?,,Feature Detection,,,0,Constraint Satisfaction Problem,,Distributed Locking Algorithms,Neural Network Training?,0,Line segment intersection,
Convex Hull,,Knapsack Problem,,Filtering Problem (Stochastic Processes),,,0,Digits of Pi,,Duplicate Elimination,Knapsack Problem,1,,
Minimum Spanning Tree (MST),,Tower of Hanoi,,Finding Frequent Itemsets,,Tower of Hanoi,1,Disjoint-Set Data Structure,,Entity Resolution,,1,,
Closest Pair Problem,,Genetic Algorithm???,,Generating Random Permutations,,,0,Division,,Factorization of Polynomials Over Finite Fields,Genetic Algorithm???,0,Closest Pair Problem,
LU Decomposition,,Greatest Common Divisor,,Greatest Common Divisor,,Greatest Common Divisor,1,Electoral System,,Frequent Words with Mismatches Problem,,1,,
Informed Search,,Data Compression (Lossless)/Optimal Binary Search Trees?,,Gröbner Bases,,,0,Error Detection,,Graph Coloring,Data Compression (Lossless)/Optimal Binary Search Trees?,1,,
String Search,,Scheduling?,,Image Segmentation,,,0,Exponentiation,,Graph Edit Distance Computation,Scheduling?,1,,
