article,formatted title,url
Algorithm,Algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Algorithm/monthly/20150701/20230615
Genetic_algorithm,Genetic_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Genetic_algorithm/monthly/20150701/20230615
Prim's_algorithm,Prim%27s_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Prim%27s_algorithm/monthly/20150701/20230615
Search_algorithm,Search_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Search_algorithm/monthly/20150701/20230615
Kruskal's_algorithm,Kruskal%27s_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Kruskal%27s_algorithm/monthly/20150701/20230615
Dijkstra's_algorithm,Dijkstra%27s_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Dijkstra%27s_algorithm/monthly/20150701/20230615
Randomized_algorithm,Randomized_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Randomized_algorithm/monthly/20150701/20230615
Euclidean_algorithm,Euclidean_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Euclidean_algorithm/monthly/20150701/20230615
CYK_algorithm,CYK_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/CYK_algorithm/monthly/20150701/20230615
Online_algorithm,Online_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Online_algorithm/monthly/20150701/20230615
Borůvka's_algorithm,Bor%C5%AFvka%27s_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Bor%C5%AFvka%27s_algorithm/monthly/20150701/20230615
Sorting_algorithm,Sorting_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Sorting_algorithm/monthly/20150701/20230615
A*_search_algorithm,A%2A_search_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/A%2A_search_algorithm/monthly/20150701/20230615
Dinic's_algorithm,Dinic%27s_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Dinic%27s_algorithm/monthly/20150701/20230615
Painter's_algorithm,Painter%27s_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Painter%27s_algorithm/monthly/20150701/20230615
Floyd–Warshall_algorithm,Floyd%E2%80%93Warshall_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Floyd%E2%80%93Warshall_algorithm/monthly/20150701/20230615
Greedy_algorithm,Greedy_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Greedy_algorithm/monthly/20150701/20230615
Approximation_algorithm,Approximation_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Approximation_algorithm/monthly/20150701/20230615
Deutsch–Jozsa_algorithm,Deutsch%E2%80%93Jozsa_algorithm,https://wikimedia.org/api/rest_v1/metrics/pageviews/per-article/en.wikipedia.org/all-access/user/Deutsch%E2%80%93Jozsa_algorithm/monthly/20150701/20230615
