2015,2016,2017,2018,2019,2020,2021,2022,2023,Overall
364144.83,146306.00,101016.00,83441.33,79394.83,80021.58,84640.00,83284.75,81440.80,84410.01053
92647.50,90480.83,92284.83,63541.50,57611.83,56052.83,62298.42,58565.75,60032.80,72942.84211
81528.17,61565.08,64902.33,63462.67,56636.08,55581.83,59146.50,52332.50,51878.80,63366.82105
72274.00,61078.33,60271.58,61802.08,56422.92,52204.50,53466.58,50029.33,51737.60,53910.47368
58344.33,54276.92,57755.33,59275.67,54565.00,51021.00,51122.42,48378.67,51436.20,52458.86316
56841.83,53284.17,56454.33,58916.25,50109.00,47459.00,48623.17,46565.50,47185.00,52175.6
52028.33,53256.08,56160.25,56289.33,48702.58,46387.42,48233.75,46450.50,47156.20,48445.27368
50971.50,52443.75,52297.42,51887.42,48508.83,45779.33,43061.58,44896.42,45661.40,46936.38947
49285.00,50160.25,49889.92,48465.33,43794.25,43248.08,42985.50,41226.92,33211.40,45196.44211
48923.50,48939.75,48374.33,47976.25,42079.50,42765.25,42287.25,40317.83,32708.40,43920.29474
46387.67,47089.08,46954.92,45637.33,40175.58,42386.33,42014.58,38682.92,31898.20,43182.67368
44261.00,46851.17,44771.50,45581.58,38568.92,40917.83,41780.42,37132.25,31273.80,42517.85263
43919.00,45701.67,44755.08,45087.50,38329.83,39221.08,39165.58,35747.75,31069.20,39013.07368
43816.67,43380.50,41998.75,42926.08,37112.50,39006.25,36899.33,33851.75,30409.00,39003.49474
42749.67,37827.83,41626.17,42894.08,35574.42,38531.92,35461.25,29024.33,28268.80,38586.87368
35999.83,36194.00,39871.92,40747.17,35442.92,36117.83,35208.75,28833.83,28211.00,38208.43158
33973.33,32902.17,39187.75,38979.42,35214.75,35695.42,30124.92,26993.92,27004.40,32658.32632
31847.50,31841.33,36418.92,37539.33,35145.08,31945.17,29349.50,26696.42,26541.80,31623.41053
28544.33,31457.75,32064.75,34907.00,29374.42,30601.92,29243.58,26447.08,25424.00,30476.06316
26576.83,30938.67,31105.50,29351.58,29114.00,29783.50,28750.92,25805.92,24529.60,29690.97895
26235.50,28777.67,28300.83,29082.75,28340.83,29168.50,27152.58,24480.58,23959.20,28698.35789
25066.00,27834.58,28007.83,28651.50,26201.75,27784.00,27094.58,23448.00,23143.60,26360.16842
