,average_monthly_reads,Time Complexity Class,Time Complexity Bin,reads_bin
0,0.0,3.0,3,0
1,0.0,2.6,2,0
2,0.0,3.0,3,0
3,0.0,4.6,4,0
4,8855.80412371134,4.0,4,3
5,7193.041237113402,3.0,3,3
6,0.0,3.0,3,0
7,3744.628865979381,3.0,3,3
8,32317.474226804123,3.0,3,4
9,0.0,3.0,3,0
10,11461.01030927835,3.0,3,4
11,0.0,4.5,4,0
12,0.0,4.0,4,0
13,0.0,4.0,4,0
14,0.0,4.0,4,0
15,0.0,6.0,6,0
16,0.0,1.0,1,0
17,0.0,3.0,3,0
18,39.855670103092784,3.0,3,1
19,39.855670103092784,3.0,3,1
20,860.3814432989691,5.01,5,2
21,860.3814432989691,3.0,3,2
22,0.0,3.0,3,0
23,8665.453608247422,3.0,3,3
24,8665.453608247422,3.0,3,3
25,0.0,5.0,5,0
26,25276.443298969072,5.0,5,4
27,45945.010309278354,4.0,4,4
28,42625.278350515466,5.0,5,4
29,3044.907216494845,4.0,4,3
30,23630.907216494845,4.0,4,4
31,9069.40206185567,3.0,3,3
32,8962.329896907217,5.0,5,3
33,19067.9587628866,3.0,3,4
34,916.0,4.0,4,2
35,62560.50515463918,5.0,5,5
36,4052.020618556701,8.0,8,3
37,4052.020618556701,6.0,6,3
38,1540.9381443298969,5.0,5,3
39,8510.536082474227,7.0,7,3
40,1797.9896907216496,7.0,7,3
41,4002.958762886598,7.0,7,3
42,2304.5257731958764,6.0,6,3
43,0.0,6.02,6,0
44,6845.876288659794,4.5,4,3
45,8194.577319587628,4.4035,4,3
46,1242.9484536082475,4.3975,4,3
47,1242.9484536082475,4.258325,4,3
48,1242.9484536082475,4.247774,4,3
49,8194.577319587628,4.23925,4,3
50,1242.9484536082475,4.18775,4,3
51,6845.876288659794,4.1864365,4,3
52,1242.9484536082475,4.18643195,4,3
53,13713.886597938144,8.0,8,4
54,0.0,8.0,8,0
55,28246.77319587629,4.5,4,4
56,20990.48453608248,4.5,4,4
57,0.0,4.5,4,0
58,1220.1237113402062,3.0,3,3
59,593.2886597938144,3.0,3,2
60,7605.845360824742,3.0,3,3
61,869.7628865979382,8.0,8,2
62,1330.5773195876288,7.0,7,3
63,0.0,5.0,5,0
64,1610.8969072164948,4.0,4,3
65,0.0,6.0,6,0
66,2274.072164948453,3.0,3,3
67,0.0,5.01,5,0
68,0.0,5.01,5,0
69,22169.01030927835,5.0,5,4
70,0.0,5.0,5,0
71,18572.23711340206,4.5,4,4
72,18572.23711340206,4.5,4,4
73,18572.23711340206,6.0,6,4
74,62913.67010309279,8.0,8,5
75,1669.340206185567,8.0,8,3
76,62913.67010309279,8.0,8,5
77,62913.67010309279,8.0,8,5
78,2572.2061855670104,8.0,8,3
79,1056.0721649484535,8.0,8,3
80,484.046875,8.0,8,2
81,790.659793814433,8.0,8,2
82,444.6185567010309,8.0,8,2
83,330.8875,8.0,8,2
84,0.0,8.0,8,0
85,6916.064516129032,5.0,5,3
86,11982.659793814431,3.0,3,4
87,4814.5161290322585,5.0,5,3
88,5736.061855670103,5.0,5,3
89,6119.030927835051,5.0,5,3
90,5500.762886597938,6.0,6,3
91,0.0,4.99,4,0
92,1332.1958762886595,5.0,5,3
93,3718.1546391752577,5.0,5,3
94,12357.701030927836,5.0,5,4
95,5500.762886597938,5.0,5,3
96,5500.762886597938,5.0,5,3
97,6119.030927835051,5.0,5,3
98,3605.0515463917527,3.0,3,3
99,1019.2474226804125,3.0,3,3
100,838.7835051546392,3.0,3,2
101,255.0675675675676,3.0,3,2
102,1719.2371134020618,3.0,3,3
103,1636.4639175257732,8.0,8,3
104,8786.886597938144,4.58,4,3
105,1693.4536082474226,4.46,4,3
106,9020.917525773197,5.0,5,3
107,5473.577319587629,5.0,5,3
108,544.974358974359,5.0,5,2
109,5473.577319587629,3.0,3,3
110,5473.577319587629,3.0,3,3
111,5473.577319587629,3.0,3,3
112,5473.577319587629,3.0,3,3
113,9321.78350515464,3.0,3,3
114,0.875,4.0,4,1
115,8517.257731958764,4.0,4,3
116,11461.01030927835,8.0,8,4
117,36779.24742268041,3.0,3,4
118,11461.01030927835,3.0,3,4
119,11461.01030927835,4.0,4,4
120,0.0,4.0,4,0
121,12457.59793814433,6.0,6,4
122,12457.59793814433,5.0,5,4
123,12457.59793814433,5.0,5,4
124,12457.59793814433,4.0,4,4
125,12457.59793814433,3.0,3,4
126,0.0,2.0,2,0
127,0.0,5.5,5,0
128,0.0,3.0,3,0
129,0.0,3.0,3,0
130,86.84536082474227,5.5,5,1
131,86.84536082474227,5.5,5,1
132,0.0,8.0,8,0
133,0.0,5.0,5,0
134,0.0,8.0,8,0
135,4004.0,5.0,5,3
136,4052.020618556701,2.0,2,3
137,4052.020618556701,1.99,1,3
138,0.0,3.0,3,0
139,4052.020618556701,3.0,3,3
140,0.0,4.38995,4,0
141,3278.948453608248,4.2609,4,3
142,0.0,7.0,7,0
143,302.27450980392155,5.0,5,2
144,2304.5257731958764,5.5,5,3
145,47464.0206185567,8.0,8,4
146,47464.0206185567,8.0,8,4
147,0.0,5.01,5,0
148,4344.938144329897,5.0,5,3
149,4344.938144329897,6.0,6,3
150,4344.938144329897,6.0,6,3
151,6902.350515463918,5.0,5,3
152,6902.350515463918,4.0,4,3
153,0.0,3.0,3,0
154,0.0,5.0,5,0
155,860.3814432989691,6.0,6,2
156,860.3814432989691,3.0,3,2
157,860.3814432989691,6.0,6,2
158,860.3814432989691,6.0,6,2
159,15218.62886597938,6.0,6,4
160,0.0,6.0,6,0
161,0.0,6.0,6,0
162,8201.525773195875,5.0,5,3
163,0.0,4.0,4,0
164,13713.886597938144,8.0,8,4
165,4292.20618556701,3.0,3,3
166,18572.23711340206,4.188,4,4
167,1182.5773195876288,5.0,5,3
168,2298.422680412371,4.0,4,3
169,62560.50515463918,5.0,5,5
170,11733.226804123711,4.0,4,4
171,781.1237113402062,4.0,4,2
172,8659.01030927835,5.0,5,3
173,8659.01030927835,4.5,4,3
174,8659.01030927835,4.01,4,3
175,8659.01030927835,4.33,4,3
176,3399.1546391752577,2.0,2,3
177,1547.40206185567,4.0,4,3
178,0.0,5.0,5,0
179,1171.2577319587629,5.0,5,3
180,1965.8144329896909,3.0,3,3
181,524.6907216494845,4.0,4,2
182,266.16494845360825,4.0,4,2
183,0.0,3.0,3,0
184,4052.020618556701,4.0,4,3
185,347.3333333333333,3.0,3,2
186,0.0,3.0,3,0
187,17336.896907216495,7.0,7,4
188,1797.9896907216496,6.0,6,3
189,19338.72164948453,6.0,6,4
190,6797.164948453608,6.01,6,3
191,8716.731958762886,6.0,6,3
192,722.7525773195877,6.0,6,2
193,0.0,6.01,6,0
194,0.0,5.99,5,0
195,0.0,6.0,6,0
196,8716.731958762886,6.0,6,3
197,0.0,6.0,6,0
198,8716.731958762886,6.0,6,3
199,8716.731958762886,5.66,5,3
200,8716.731958762886,6.0,6,3
201,2187.226804123711,8.0,8,3
202,0.0,8.0,8,0
203,0.0,8.0,8,0
204,13713.886597938144,8.0,8,4
205,13713.886597938144,8.0,8,4
206,13713.886597938144,8.0,8,4
207,12364.546391752578,3.0,3,4
208,5578.81443298969,2.0,2,3
209,1741.5876288659797,6.5,6,3
210,17259.845360824744,8.0,8,4
211,469.08247422680415,8.0,8,2
212,268.56666666666666,6.5,6,2
213,38723.13402061856,6.0,6,4
214,38723.13402061856,5.5,5,4
215,1610.8969072164948,4.0,4,3
216,47924.74226804124,4.0,4,4
217,0.0,4.0,4,0
218,0.0,4.0,4,0
219,0.0,4.0,4,0
220,0.0,4.0,4,0
221,0.0,2.0,2,0
222,3352.505154639175,4.0,4,3
223,5597.020618556701,5.0,5,3
224,5597.020618556701,4.0,4,3
225,5597.020618556701,4.0,4,3
226,445.30927835051546,4.0,4,2
227,1018.5154639175256,4.0,4,3
228,4467.639175257732,5.0,5,3
229,5623.628865979382,5.0,5,3
230,532.7113402061856,5.0,5,2
231,7893.257731958763,5.01,5,3
232,0.0,5.0,5,0
233,532.7113402061856,5.0,5,2
