Which Problem,Number of Articles,Sheet1 Problems,Sheet1 Algos
Disjoint-Set Data Structure,1,Feature Detection,32
Discrete Fourier Transform,3,Sorting,26
Graphical Model Inference,1,Poisson Problem,24
Maximum Flow,2,Mesh Simplification,22
Graph Traversal,2,Maximum Flow,20
Ordered Associative Array (Comparison),1,Mesh Parameterization,20
Travelling Salesman Problem,1,Texture Mapping,19
Authentication,1,Image Segmentation,19
Clustering Problem,1,Motif Search,17
Classification,4,Graph Coloring,17
Error Detection,2,Informed Search,17
Combinatorial Games,1,String Search,17
Non-linear Least Squares,2,Integer Factoring,16
Block Ciphers,9,The Subset-Sum Problem,15
Sorting,1,Longest Common Subsequence,15
Data Compression (Lossless),4,SDD Systems Solvers,15
Linear System,2,Strongly Connected Components,14
Scheduling,1,Minimum Spanning Tree (MST),13
Network Congestion,1,Delaunay Triangulation,13
Black Box Function Inversion,1,POMDPs,13
Shortest Path (Directed Graphs),2,Optimal Binary Search Trees,12
Linear Classification,2,Sequence Alignment,12
Eigenvalues (Iterative Methods),3,The Traveling-Salesman Problem,12
Page Replacements,1,Eigenvalues (Iterative Methods),12
Line Clipping,1,Data Compression,12
,,Link Analysis,12
,,Transitive Reduction Problem,12
Nearest Neighbor Search,1,Matrix Product,11
Minimum Spanning Tree (MST),2,Multiplication,11
Median Selection,1,Discrete Fourier Transform,11
,,Interval Scheduling,11
Informed Search,1,Stable Matching Problem,10
Link Analysis,1,Matrix Chain Multiplication,10
Data Compression (Lossless)/Optimal Binary Search Trees,1,Convex Hull,10
Shown Surface Determination,1,Closest Pair Problem,10
Rasterization,3,Maximum Cardinality Matching,10
Probability Distribution Sampling,1,The Set-Covering Problem,10
String Search,4,Shortest Path (Directed Graphs),10
"Division, Integer Factoring",1,Mutual Exclusion,10
Image Segmentation,1,The Vertex Cover Problem,10
Color Image Reconstruction,1,Constructing Suffix Trees,10
Peer-to-Peer Distributed Hash Table,1,Graph Isomorphism Problem,10
Stable Matching Problem,1,Filtering Problem (Stochastic Processes),10
,,Page Replacements,10
Greatest Common Divisor,2,Line segment intersection,9
All-Pairs Shortest Paths (APSP),2,Maximum Subarray Problem,9
Collaborative Filtering,1,Graph Edit Distance Computation,9
Mesh Simplification,1,Clique Problems,9
Root Computation,2,Texture Synthesis,8
Neural Network Training,1,Linear System,8
Genetic Algorithm,3,Linear Programming,8
Convex Optimization (Non-linear),8,LU Decomposition,8
Key Exchange,3,All-Pairs Shortest Paths (APSP),8
Companding,1,4NF Decomposition,8
"Eigenvalues (Iterative Methods), Collaborative Filtering",1,Entity Resolution,8
File Erasure,1,Maximum Likelihood Methods in Unknown Latent Variables,8
,,Point-in-Polygon,8
,,Logarithm Calculations,8
,,One-Way Hash Functions,8
Public Key Cryptosystem,2,Nearest Neighbor Search,7
Unordered Associative Array,1,n-Queens Problem,7
"Linear System, SDD Systems Solvers, Collaborative Filtering",1,Line Clipping,7
Convex Hull,2,Root Computation,7
Chromosomal Crossover,1,Cardinality Estimation,7
Consensus,1,Register Allocation,7
